# Nixlytile Video Player Debug Log
# File: http://aceclan.no:8080/stream/570
# Video: 3840x2160 @ 23.976 fps, HW=1
# Display: 0.00 Hz, frame_interval=41708332 ns, pacing_mode=0
# Subtitles: 16 track(s), selected=0, codec_ctx=0x56208de7a540, ass_track=0x56208ef1efd0, ass_renderer=0x56208ebfe580
#   sub[0]: stream=4 codec=hdmv_pgs_subtitle text=0 "English (Forced)" [eng] <-- ACTIVE
#   sub[1]: stream=5 codec=hdmv_pgs_subtitle text=0 "English (SDH)" [eng]
#   sub[2]: stream=6 codec=hdmv_pgs_subtitle text=0 "Chinese (Traditional)" [chi]
#   sub[3]: stream=7 codec=hdmv_pgs_subtitle text=0 "Croatian" [hrv]
#   sub[4]: stream=8 codec=hdmv_pgs_subtitle text=0 "Czech" [cze]
#   sub[5]: stream=9 codec=hdmv_pgs_subtitle text=0 "Danish" [dan]
#   sub[6]: stream=10 codec=hdmv_pgs_subtitle text=0 "Dutch" [dut]
#   sub[7]: stream=11 codec=hdmv_pgs_subtitle text=0 "Finnish" [fin]
#   sub[8]: stream=12 codec=hdmv_pgs_subtitle text=0 "French" [fre]
#   sub[9]: stream=13 codec=hdmv_pgs_subtitle text=0 "German" [ger]
#   sub[10]: stream=14 codec=hdmv_pgs_subtitle text=0 "Greek" [gre]
#   sub[11]: stream=15 codec=hdmv_pgs_subtitle text=0 "Hebrew" [heb]
#   sub[12]: stream=16 codec=hdmv_pgs_subtitle text=0 "Hungarian" [hun]
#   sub[13]: stream=17 codec=hdmv_pgs_subtitle text=0 "Italian" [ita]
#   sub[14]: stream=18 codec=hdmv_pgs_subtitle text=0 "Korean" [kor]
#   sub[15]: stream=19 codec=hdmv_pgs_subtitle text=0 "Norwegian" [nor]
# frame | state  | q=queued | avsync | pos_ms | v=vsyncs | dt=actual/expected us
# Display updated: 300.18 Hz, frame_interval=41708332 ns, pacing_mode=3
    71 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    72 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    73 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    74 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    75 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    76 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    77 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    78 | BUFFER | 10/48 | audio=1025280/768000 | slow=0
    79 | BUFFER | 11/48 | audio=1025280/768000 | slow=0
    80 | BUFFER | 11/48 | audio=1025280/768000 | slow=0
    81 | BUFFER | 11/48 | audio=1025280/768000 | slow=0
    82 | BUFFER | 11/48 | audio=1025280/768000 | slow=0
    83 | BUFFER | 11/48 | audio=1025280/768000 | slow=0
    84 | BUFFER | 11/48 | audio=1025280/768000 | slow=0
    85 | BUFFER | 12/48 | audio=1025280/768000 | slow=0
    86 | BUFFER | 12/48 | audio=1025280/768000 | slow=0
    87 | BUFFER | 12/48 | audio=1025280/768000 | slow=0
    88 | BUFFER | 12/48 | audio=1025280/768000 | slow=0
    89 | BUFFER | 12/48 | audio=1025280/768000 | slow=0
    90 | BUFFER | 12/48 | audio=1025280/768000 | slow=0
    91 | BUFFER | 13/48 | audio=1025280/768000 | slow=0
    92 | BUFFER | 13/48 | audio=1025280/768000 | slow=0
    93 | BUFFER | 13/48 | audio=1025280/768000 | slow=0
    94 | BUFFER | 13/48 | audio=1025280/768000 | slow=0
    95 | BUFFER | 13/48 | audio=1025280/768000 | slow=0
    96 | BUFFER | 13/48 | audio=1025280/768000 | slow=0
    97 | BUFFER | 14/48 | audio=1140480/768000 | slow=0
    98 | BUFFER | 14/48 | audio=1473280/768000 | slow=0
    99 | BUFFER | 14/48 | audio=1473280/768000 | slow=0
   100 | BUFFER | 14/48 | audio=1473280/768000 | slow=0
   101 | BUFFER | 14/48 | audio=1473280/768000 | slow=0
   102 | BUFFER | 14/48 | audio=1473280/768000 | slow=0
   103 | BUFFER | 14/48 | audio=1473280/768000 | slow=0
   104 | BUFFER | 15/48 | audio=1473280/768000 | slow=0
   105 | BUFFER | 15/48 | audio=1473280/768000 | slow=0
   106 | BUFFER | 15/48 | audio=1473280/768000 | slow=0
   107 | BUFFER | 15/48 | audio=1473280/768000 | slow=0
   108 | BUFFER | 15/48 | audio=1473280/768000 | slow=0
   109 | BUFFER | 15/48 | audio=1473280/768000 | slow=0
   110 | BUFFER | 16/48 | audio=1473280/768000 | slow=0
   111 | BUFFER | 16/48 | audio=1473280/768000 | slow=0
   112 | BUFFER | 16/48 | audio=1473280/768000 | slow=0
   113 | BUFFER | 16/48 | audio=1473280/768000 | slow=0
   114 | BUFFER | 16/48 | audio=1473280/768000 | slow=0
   115 | BUFFER | 16/48 | audio=1473280/768000 | slow=0
   116 | BUFFER | 17/48 | audio=1473280/768000 | slow=0
   117 | BUFFER | 17/48 | audio=1473280/768000 | slow=0
   118 | BUFFER | 17/48 | audio=1473280/768000 | slow=0
   119 | BUFFER | 17/48 | audio=1473280/768000 | slow=0
   120 | BUFFER | 17/48 | audio=1473280/768000 | slow=0
   121 | BUFFER | 17/48 | audio=1473280/768000 | slow=0
   122 | BUFFER | 17/48 | audio=1473280/768000 | slow=0
   123 | BUFFER | 18/48 | audio=1473280/768000 | slow=0
   124 | BUFFER | 18/48 | audio=1473280/768000 | slow=0
   125 | BUFFER | 18/48 | audio=1473280/768000 | slow=0
   126 | BUFFER | 18/48 | audio=1473280/768000 | slow=0
   127 | BUFFER | 18/48 | audio=1473280/768000 | slow=0
   128 | BUFFER | 18/48 | audio=1473280/768000 | slow=0
   129 | BUFFER | 19/48 | audio=1473280/768000 | slow=0
   130 | BUFFER | 19/48 | audio=1473280/768000 | slow=0
   131 | BUFFER | 19/48 | audio=1473280/768000 | slow=0
   132 | BUFFER | 19/48 | audio=1473280/768000 | slow=0
   133 | BUFFER | 19/48 | audio=1473280/768000 | slow=0
   134 | BUFFER | 19/48 | audio=1473280/768000 | slow=0
   135 | BUFFER | 20/48 | audio=1473280/768000 | slow=0
   136 | BUFFER | 20/48 | audio=1473280/768000 | slow=0
   137 | BUFFER | 20/48 | audio=1473280/768000 | slow=0
   138 | BUFFER | 20/48 | audio=1473280/768000 | slow=0
   139 | BUFFER | 20/48 | audio=1473280/768000 | slow=0
   140 | BUFFER | 20/48 | audio=1473280/768000 | slow=0
   141 | BUFFER | 21/48 | audio=1538560/768000 | slow=0
   142 | BUFFER | 21/48 | audio=1538560/768000 | slow=0
   143 | BUFFER | 21/48 | audio=1538560/768000 | slow=0
   144 | BUFFER | 21/48 | audio=1538560/768000 | slow=0
   145 | BUFFER | 21/48 | audio=1538560/768000 | slow=0
   146 | BUFFER | 21/48 | audio=1538560/768000 | slow=0
   147 | BUFFER | 22/48 | audio=1538560/768000 | slow=0
   148 | BUFFER | 22/48 | audio=1538560/768000 | slow=0
   149 | BUFFER | 22/48 | audio=1538560/768000 | slow=0
   150 | BUFFER | 22/48 | audio=1538560/768000 | slow=0
   151 | BUFFER | 22/48 | audio=1538560/768000 | slow=0
   152 | BUFFER | 22/48 | audio=1538560/768000 | slow=0
   153 | BUFFER | 22/48 | audio=1538560/768000 | slow=0
   154 | BUFFER | 23/48 | audio=1538560/768000 | slow=0
   155 | BUFFER | 23/48 | audio=1538560/768000 | slow=0
   156 | BUFFER | 23/48 | audio=1538560/768000 | slow=0
   157 | BUFFER | 23/48 | audio=1538560/768000 | slow=0
   158 | BUFFER | 23/48 | audio=1538560/768000 | slow=0
   159 | BUFFER | 23/48 | audio=1538560/768000 | slow=0
   160 | BUFFER | 24/48 | audio=1940480/768000 | slow=0
   161 | BUFFER | 24/48 | audio=2050560/768000 | slow=0
   162 | BUFFER | 24/48 | audio=2050560/768000 | slow=0
   163 | BUFFER | 24/48 | audio=2050560/768000 | slow=0
   164 | BUFFER | 24/48 | audio=2050560/768000 | slow=0
   165 | BUFFER | 24/48 | audio=2050560/768000 | slow=0
   166 | BUFFER | 24/48 | audio=2050560/768000 | slow=0
   167 | BUFFER | 25/48 | audio=2050560/768000 | slow=0
   168 | BUFFER | 25/48 | audio=2050560/768000 | slow=0
   169 | BUFFER | 25/48 | audio=2050560/768000 | slow=0
   170 | BUFFER | 25/48 | audio=2050560/768000 | slow=0
   171 | BUFFER | 25/48 | audio=2050560/768000 | slow=0
   172 | BUFFER | 25/48 | audio=2050560/768000 | slow=0
   173 | BUFFER | 26/48 | audio=2050560/768000 | slow=0
   174 | BUFFER | 26/48 | audio=2050560/768000 | slow=0
   175 | BUFFER | 26/48 | audio=2050560/768000 | slow=0
   176 | BUFFER | 26/48 | audio=2050560/768000 | slow=0
   177 | BUFFER | 26/48 | audio=2050560/768000 | slow=0
   178 | BUFFER | 26/48 | audio=2050560/768000 | slow=0
   179 | BUFFER | 27/48 | audio=2050560/768000 | slow=0
   180 | BUFFER | 27/48 | audio=2050560/768000 | slow=0
   181 | BUFFER | 27/48 | audio=2050560/768000 | slow=0
   182 | BUFFER | 27/48 | audio=2050560/768000 | slow=0
   183 | BUFFER | 27/48 | audio=2050560/768000 | slow=0
   184 | BUFFER | 28/48 | audio=2050560/768000 | slow=0
   185 | BUFFER | 28/48 | audio=2050560/768000 | slow=0
   186 | BUFFER | 28/48 | audio=2050560/768000 | slow=0
   187 | BUFFER | 28/48 | audio=2050560/768000 | slow=0
   188 | BUFFER | 28/48 | audio=2050560/768000 | slow=0
   189 | BUFFER | 28/48 | audio=2050560/768000 | slow=0
   190 | BUFFER | 29/48 | audio=2050560/768000 | slow=0
   191 | BUFFER | 29/48 | audio=2050560/768000 | slow=0
   192 | BUFFER | 29/48 | audio=2050560/768000 | slow=0
   193 | BUFFER | 29/48 | audio=2050560/768000 | slow=0
   194 | BUFFER | 29/48 | audio=2050560/768000 | slow=0
   195 | BUFFER | 30/48 | audio=2315520/768000 | slow=0
   196 | BUFFER | 30/48 | audio=2562560/768000 | slow=0
   197 | BUFFER | 30/48 | audio=2562560/768000 | slow=0
   198 | BUFFER | 32/48 | audio=2562560/768000 | slow=0
   199 | BUFFER | 32/48 | audio=2562560/768000 | slow=0
   200 | BUFFER | 32/48 | audio=2562560/768000 | slow=0
   201 | BUFFER | 32/48 | audio=2562560/768000 | slow=0
   202 | BUFFER | 32/48 | audio=2562560/768000 | slow=0
   203 | BUFFER | 32/48 | audio=2562560/768000 | slow=0
   204 | BUFFER | 33/48 | audio=2562560/768000 | slow=0
   205 | BUFFER | 33/48 | audio=2562560/768000 | slow=0
   206 | BUFFER | 33/48 | audio=2562560/768000 | slow=0
   207 | BUFFER | 33/48 | audio=2562560/768000 | slow=0
   208 | BUFFER | 33/48 | audio=2562560/768000 | slow=0
   209 | BUFFER | 33/48 | audio=2562560/768000 | slow=0
   210 | BUFFER | 34/48 | audio=2562560/768000 | slow=0
   211 | BUFFER | 34/48 | audio=2562560/768000 | slow=0
   212 | BUFFER | 34/48 | audio=2562560/768000 | slow=0
   213 | BUFFER | 34/48 | audio=2562560/768000 | slow=0
   214 | BUFFER | 34/48 | audio=2562560/768000 | slow=0
   215 | BUFFER | 35/48 | audio=2562560/768000 | slow=0
   216 | BUFFER | 35/48 | audio=2562560/768000 | slow=0
   217 | BUFFER | 35/48 | audio=2562560/768000 | slow=0
   218 | BUFFER | 35/48 | audio=2562560/768000 | slow=0
   219 | BUFFER | 35/48 | audio=2562560/768000 | slow=0
   220 | BUFFER | 36/48 | audio=2562560/768000 | slow=0
   221 | BUFFER | 36/48 | audio=2562560/768000 | slow=0
   222 | BUFFER | 36/48 | audio=2562560/768000 | slow=0
   223 | BUFFER | 36/48 | audio=2562560/768000 | slow=0
   224 | BUFFER | 36/48 | audio=2562560/768000 | slow=0
   225 | BUFFER | 37/48 | audio=2562560/768000 | slow=0
   226 | BUFFER | 37/48 | audio=2562560/768000 | slow=0
   227 | BUFFER | 37/48 | audio=2562560/768000 | slow=0
   228 | BUFFER | 37/48 | audio=2562560/768000 | slow=0
   229 | BUFFER | 37/48 | audio=2562560/768000 | slow=0
   230 | BUFFER | 38/48 | audio=2695680/768000 | slow=0
   231 | BUFFER | 38/48 | audio=3010560/768000 | slow=0
   232 | BUFFER | 38/48 | audio=3010560/768000 | slow=0
   233 | BUFFER | 38/48 | audio=3010560/768000 | slow=0
   234 | BUFFER | 38/48 | audio=3010560/768000 | slow=0
   235 | BUFFER | 38/48 | audio=3010560/768000 | slow=0
   236 | BUFFER | 38/48 | audio=3010560/768000 | slow=0
   237 | BUFFER | 39/48 | audio=3010560/768000 | slow=0
   238 | BUFFER | 39/48 | audio=3010560/768000 | slow=0
   239 | BUFFER | 39/48 | audio=3010560/768000 | slow=0
   240 | BUFFER | 39/48 | audio=3010560/768000 | slow=0
   241 | BUFFER | 39/48 | audio=3010560/768000 | slow=0
   242 | BUFFER | 39/48 | audio=3010560/768000 | slow=0
   243 | BUFFER | 40/48 | audio=3010560/768000 | slow=0
   244 | BUFFER | 40/48 | audio=3010560/768000 | slow=0
   245 | BUFFER | 40/48 | audio=3010560/768000 | slow=0
   246 | BUFFER | 40/48 | audio=3010560/768000 | slow=0
   247 | BUFFER | 40/48 | audio=3010560/768000 | slow=0
   248 | BUFFER | 41/48 | audio=3010560/768000 | slow=0
   249 | BUFFER | 41/48 | audio=3010560/768000 | slow=0
   250 | BUFFER | 41/48 | audio=3010560/768000 | slow=0
   251 | BUFFER | 41/48 | audio=3010560/768000 | slow=0
   252 | BUFFER | 41/48 | audio=3010560/768000 | slow=0
   253 | BUFFER | 41/48 | audio=3010560/768000 | slow=0
   254 | BUFFER | 42/48 | audio=3010560/768000 | slow=0
   255 | BUFFER | 42/48 | audio=3010560/768000 | slow=0
   256 | BUFFER | 42/48 | audio=3010560/768000 | slow=0
   257 | BUFFER | 42/48 | audio=3010560/768000 | slow=0
   258 | BUFFER | 42/48 | audio=3010560/768000 | slow=0
   259 | BUFFER | 42/48 | audio=3010560/768000 | slow=0
   260 | BUFFER | 43/48 | audio=3010560/768000 | slow=0
   261 | BUFFER | 43/48 | audio=3010560/768000 | slow=0
   262 | BUFFER | 43/48 | audio=3010560/768000 | slow=0
   263 | BUFFER | 43/48 | audio=3010560/768000 | slow=0
   264 | BUFFER | 43/48 | audio=3010560/768000 | slow=0
   265 | BUFFER | 44/48 | audio=3010560/768000 | slow=0
   266 | BUFFER | 44/48 | audio=3010560/768000 | slow=0
   267 | BUFFER | 44/48 | audio=3010560/768000 | slow=0
   268 | BUFFER | 44/48 | audio=3010560/768000 | slow=0
   269 | BUFFER | 44/48 | audio=3010560/768000 | slow=0
   270 | BUFFER | 45/48 | audio=3075840/768000 | slow=0
   271 | BUFFER | 45/48 | audio=3075840/768000 | slow=0
   272 | BUFFER | 45/48 | audio=3075840/768000 | slow=0
   273 | BUFFER | 45/48 | audio=3075840/768000 | slow=0
   274 | BUFFER | 45/48 | audio=3075840/768000 | slow=0
   275 | BUFFER | 46/48 | audio=3075840/768000 | slow=0
   276 | BUFFER | 46/48 | audio=3075840/768000 | slow=0
   277 | BUFFER | 46/48 | audio=3075840/768000 | slow=0
   278 | BUFFER | 46/48 | audio=3075840/768000 | slow=0
   279 | BUFFER | 46/48 | audio=3075840/768000 | slow=0
   280 | BUFFER | 47/48 | audio=3075840/768000 | slow=0
   281 | BUFFER | 47/48 | audio=3075840/768000 | slow=0
   282 | BUFFER | 47/48 | audio=3075840/768000 | slow=0
   283 | BUFFER | 47/48 | audio=3075840/768000 | slow=0
   284 | BUFFER | 47/48 | audio=3075840/768000 | slow=0
   285 | BUFFER | 47/48 | audio=3075840/768000 | slow=0
   286 | BUFFER | 48/48 | audio=3374080/768000 | slow=0
# PRESTART | audio pre-activated, waiting for PipeWire on_process
   287 | BUFFER | 48/48 | audio=3589120/768000 | slow=0
   288 | BUFFER | 48/48 | audio=3585024/768000 | slow=0
   289 | PLAY   | q=47 | avsync=     +0 | pos=      0 | v= 1 | dt=    0/41708 us
   293 | PLAY   | q=47 | avsync=     +0 | pos=     42 | v= 4 | dt=39994/41708 us
   297 | PLAY   | q=48 | avsync=     +0 | pos=     83 | v= 4 | dt=43320/41708 us
   299 | PLAY   | q=50 | avsync=  -1388 | pos=    125 | v= 2 | dt=43359/41708 us
   301 | PLAY   | q=50 | avsync=   +707 | pos=    167 | v= 2 | dt=39909/41708 us
   304 | PLAY   | q=51 | avsync=  +2758 | pos=    209 | v= 3 | dt=39966/41708 us
   308 | PLAY   | q=52 | avsync=   +498 | pos=    250 | v= 4 | dt=43353/41708 us
   311 | PLAY   | q=53 | avsync=  +2465 | pos=    292 | v= 3 | dt=39919/41708 us
   315 | PLAY   | q=54 | avsync=  +1228 | pos=    334 | v= 4 | dt=43313/41708 us
   319 | PLAY   | q=55 | avsync=  -1215 | pos=    375 | v= 4 | dt=43354/41708 us
   323 | PLAY   | q=56 | avsync=  -2529 | pos=    417 | v= 4 | dt=43281/41708 us
   326 | PLAY   | q=57 | avsync=  +2825 | pos=    459 | v= 3 | dt=36624/41708 us
   330 | PLAY   | q=58 | avsync=  +1504 | pos=    501 | v= 4 | dt=43307/41708 us
   334 | PLAY   | q=58 | avsync=  +2532 | pos=    542 | v= 4 | dt=40023/41708 us
   338 | PLAY   | q=59 | avsync=  -2172 | pos=    584 | v= 4 | dt=46616/41708 us
   342 | PLAY   | q=60 | avsync=    -55 | pos=    626 | v= 4 | dt=39958/41708 us
   346 | PLAY   | q=61 | avsync=   +956 | pos=    667 | v= 4 | dt=39988/41708 us
   349 | PLAY   | q=62 | avsync=  +2989 | pos=    709 | v= 3 | dt=39933/41708 us
   353 | PLAY   | q=62 | avsync=  +1626 | pos=    751 | v= 4 | dt=43347/41708 us
   357 | PLAY   | q=63 | avsync=   -750 | pos=    792 | v= 4 | dt=43322/41708 us
   363 | PLAY   | q=63 | avsync=  +1371 | pos=    834 | v= 6 | dt=39941/41708 us
   367 | PLAY   | q=63 | avsync=  +3364 | pos=    876 | v= 4 | dt=39973/41708 us
   370 | PLAY   | q=63 | avsync=  +2032 | pos=    918 | v= 3 | dt=43254/41708 us
   374 | PLAY   | q=63 | avsync=   -269 | pos=    959 | v= 4 | dt=43346/41708 us
   378 | PLAY   | q=63 | avsync=  -1587 | pos=   1001 | v= 4 | dt=43309/41708 us
   382 | PLAY   | q=63 | avsync=  -2964 | pos=   1043 | v= 4 | dt=43376/41708 us
   385 | PLAY   | q=63 | avsync=  +1436 | pos=   1084 | v= 3 | dt=36582/41708 us
   389 | PLAY   | q=63 | avsync=    +77 | pos=   1126 | v= 4 | dt=43337/41708 us
   392 | PLAY   | q=63 | avsync=  +2098 | pos=   1168 | v= 3 | dt=39975/41708 us
   396 | PLAY   | q=63 | avsync=  -2445 | pos=   1210 | v= 4 | dt=46617/41708 us
   399 | PLAY   | q=63 | avsync=  +1834 | pos=   1251 | v= 3 | dt=36678/41708 us
   403 | PLAY   | q=63 | avsync=   +507 | pos=   1293 | v= 4 | dt=43300/41708 us
   406 | PLAY   | q=63 | avsync=  +2612 | pos=   1335 | v= 3 | dt=39950/41708 us
   411 | PLAY   | q=63 | avsync=  -2995 | pos=   1376 | v= 5 | dt=46601/41708 us
   414 | PLAY   | q=63 | avsync=  -4313 | pos=   1418 | v= 3 | dt=43333/41708 us
   417 | PLAY   | q=63 | avsync=  -2307 | pos=   1460 | v= 3 | dt=39945/41708 us
   420 | PLAY   | q=63 | avsync=  +2956 | pos=   1502 | v= 3 | dt=36678/41708 us
   424 | PLAY   | q=63 | avsync=  -2699 | pos=   1543 | v= 4 | dt=46612/41708 us
   427 | PLAY   | q=63 | avsync=  +2652 | pos=   1585 | v= 3 | dt=36636/41708 us
   431 | PLAY   | q=63 | avsync=  +1468 | pos=   1627 | v= 4 | dt=43279/41708 us
   435 | PLAY   | q=63 | avsync=   -999 | pos=   1668 | v= 4 | dt=43392/41708 us
   439 | PLAY   | q=63 | avsync=  -2343 | pos=   1710 | v= 4 | dt=43310/41708 us
   442 | PLAY   | q=63 | avsync=  +3127 | pos=   1752 | v= 3 | dt=36615/41708 us
   446 | PLAY   | q=63 | avsync=   +758 | pos=   1793 | v= 4 | dt=43277/41708 us
   449 | PLAY   | q=63 | avsync=  +2699 | pos=   1835 | v= 3 | dt=40087/41708 us
